MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
7132,usapl/PA-2015-08,USAPL,9/12/2015,USA,PA,,Separation Training Power Team Last Minute Qualifier
7133,usapl/PA-2015-09,USAPL,11/7/2015,USA,PA,,2015 Iron Lion
7134,usapl/PA-2015-10,USAPL,12/13/2015,USA,PA,,2015 Stars and Stripes Bench Press & Deadlift Championships
7135,usapl/PA-2016-01,USAPL,5/14/2016,USA,PA,,Pennsylvania State BP/DL Championships
7136,usapl/PA-2016-02,USAPL,1/16/2016,USA,PA,,Liberty Bell Classic
7137,usapl/PA-2016-03,USAPL,2/6/2016,USA,PA,,2016 Winter Open Championship
7138,usapl/PA-2016-04,USAPL,3/19/2016,USA,PA,,Pennsylvania States Championships
7139,usapl/PA-2016-05,USAPL,5/21/2016,USA,PA,,Philadelphia Freedom Championship
7140,usapl/PA-2016-06,USAPL,8/27/2016,USA,PA,,2016 Bucks County Powerlifting Meet
7141,usapl/PA-2016-07,USAPL,3/12/2016,USA,PA,,SCI-Graterford Meet
7142,usapl/PA-2016-08,USAPL,3/26/2016,USA,PA,,Penn State - State Penn Throw Down
7143,usapl/PA-2016-09,USAPL,8/6/2016,USA,PA,,Summer Classic
7144,usapl/PA-2016-10,USAPL,3/12/2016,USA,PA,,Glen Mills High School National Qualifying Meet
7145,usapl/PA-2016-11,USAPL,7/23/2016,USA,PA,,PurePowerlifting Summer Classic
7146,usapl/PA-2016-12,USAPL,12/17/2016,USA,PA,,2016 Philadelphia LOVE Championship
7147,usapl/PA-2016-13,USAPL,9/18/2016,USA,PA,Collegeville,SCI-Graterford Powerlifting Meet
7148,usapl/PA-2016-14,USAPL,10/30/2016,USA,PA,Pittsburgh,Pittsburgh Raw Open
7149,usapl/PA-2016-16,USAPL,11/12/2016,USA,PA,,Iron Lion 2016
7150,usapl/PA-2016-17,USAPL,12/10/2016,USA,PA,,2016 Holiday Havoc
7151,usapl/PA-2017-01,USAPL,2/25/2017,USA,PA,,2017 Liberty Bell Classic
7152,usapl/PA-2017-02,USAPL,2/4/2017,USA,PA,,Winter Open
7153,usapl/PA-2017-03,USAPL,4/8/2017,USA,PA,,2017 Pennsylvania State Championship
7154,usapl/PA-2017-04,USAPL,5/27/2017,USA,PA,,2017 Philadelphia Freedom Championship
7155,usapl/PA-2017-05,USAPL,5/20/2017,USA,PA,,2017 Bench press and Deadlift PA State Championships
7156,usapl/PA-2017-07,USAPL,4/23/2017,USA,PA,,Pittsburgh Raw Open
7157,usapl/PA-2017-08,USAPL,4/23/2017,USA,PA,,SCI- Graterford Meet
7158,usapl/PA-2017-09,USAPL,7/15/2017,USA,PA,,2017 DC Barbell Club PRO Invitational
7159,usapl/PA-2017-10,USAPL,6/25/2017,USA,PA,,2017 Independence Championships
7160,usapl/PA-2017-11,USAPL,11/19/2017,USA,PA,,Stars and Stripes Championship
7161,usapl/PA-2017-12,USAPL,12/10/2017,USA,PA,,Holiday Havoc
7162,usapl/PA-2017-13,USAPL,9/10/2017,USA,PA,,Lehigh Valley Championships
7163,usapl/PA-2017-14,USAPL,10/14/2017,USA,PA,,2017 Philadelphia Fall Championship
7164,usapl/PA-2017-16,USAPL,9/30/2017,USA,PA,,2017 Anthracite Open
7165,usapl/PA-2017-17,USAPL,12/16/2017,USA,PA,,2017 Philadelphia Love Championship
7166,usapl/PA-2017-18,USAPL,11/5/2017,USA,PA,Pittsburgh,Pittsburgh Raw Open
7167,usapl/PA-2017-20,USAPL,12/3/2017,USA,PA,,SCI-Graterford Winter Powerlifting Meet
7168,usapl/PA-2018-07,USAPL,1/27/2018,USA,PA,,Gorilla House Championships
7169,usapl/RG-2016-01,USAPL,11/5/2016,USA,WA,,2016 Northwest Regional Championships
7170,usapl/RG-2016-02,USAPL,11/5/2016,USA,OH,Columbus,2016 Mid-West & Central Region Championships
7171,usapl/RG-2016-03,USAPL,12/3/2016,USA,TX,,Southern Regional Championships
7172,usapl/RG-2016-04,USAPL,10/29/2016,USA,CA,Rancho Mirage,Southwest Regionals & Ferrigno Power Classic
7173,usapl/RG-2016-05,USAPL,11/19/2016,USA,PA,Wilkes-Barre,2016 Northeast and Mid-Atlantic Regionals
7174,usapl/RG-2016-06,USAPL,12/9/2016,USA,FL,Orlando,2016 Southeast Regionals
7175,usapl/RG-2017-01,USAPL,8/19/2017,USA,OH,,2017 Mid-West Regional Championship
7176,usapl/RG-2017-02,USAPL,8/5/2017,USA,ID,,Northwest Regional Championship
7177,usapl/RG-2017-03,USAPL,9/2/2017,USA,MN,,Central Region Championship
7178,usapl/RG-2017-04,USAPL,8/19/2017,USA,MA,,2017 Northeast Regional Championships
7179,usapl/RG-2017-05,USAPL,8/4/2017,USA,NJ,,2017 Mid-Atlantic Regional Championship
7180,usapl/RG-2017-06,USAPL,8/5/2017,USA,MS,,Southern Regional Championships
7181,usapl/RG-2017-07,USAPL,7/7/2017,USA,NV,Reno,2017 Southwest Regional
7182,usapl/RG-2017-08,USAPL,8/5/2017,USA,FL,,2017 Southeast Regionals
7183,usapl/RI-2014-01,USAPL,8/16/2014,USA,RI,,Newport Open
7184,usapl/RI-2015-01,USAPL,5/30/2015,USA,MA,,MA & RI Open State Championships
7185,usapl/RI-2016-01,USAPL,5/28/2016,USA,RI,,MA and RI Open State Championships
7186,usapl/RI-2016-02,USAPL,8/27/2016,USA,RI,,Newport Open
7187,usapl/RI-2016-03,USAPL,12/3/2016,USA,RI,,2016 New England Open
7188,usapl/RI-2017-01,USAPL,5/6/2017,USA,RI,,2017 Massachusetts and Rhode Island State Championships
7189,usapl/SC-2014-01,USAPL,12/13/2014,USA,SC,,South Carolina State Championships
7190,usapl/SC-2015-02,USAPL,12/12/2015,USA,SC,,South Carolina State Championship
7191,usapl/SC-2016-01,USAPL,3/19/2016,USA,SC,,Battle on the Border X
7192,usapl/SC-2016-02,USAPL,8/13/2016,USA,SC,,2016 Palmetto Classic
7193,usapl/SC-2017-01,USAPL,12/9/2017,USA,SC,,South Carolina State Championship
7194,usapl/SC-2017-02,USAPL,4/8/2017,USA,SC,,Battle on the Border
7195,usapl/SC-2017-03,USAPL,8/19/2017,USA,SC,,Palmetto Classic
7196,usapl/SD-2014-01,USAPL,3/14/2014,USA,SD,,2014 South Dakota State Bench Press & Powerlifting Championships
7197,usapl/SD-2014-02,USAPL,2/15/2014,USA,SD,,2014 South Dakota High School Qualifier
7198,usapl/SD-2015-01,USAPL,3/13/2015,USA,SD,,2015 SD State Meet Bench
7199,usapl/SD-2015-02,USAPL,2/21/2015,USA,SD,,2015 South Dakota High School Qualifier
7200,usapl/SD-2015-03,USAPL,12/5/2015,USA,SD,,Sioux Empire Push Pull
